gid,초등학교수,중학교수,고등학교수,어린이보호구역수,교차로,보행자작동신호기,횡단보도,음향신호기,안전표지,신호등,잔여시간표시기,도로면적,총인구수,단란주점,유흥주점,일반음식점,교통사고수,geometry,gu
다사63a48a,1,1,0,2,6.0,4.0,96.0,10.0,410.0,80.0,11.0,64066.51041412762,6821.0,0,0,0,18,"POLYGON ((963000 1948000, 963000 1948500, 963500 1948500, 963500 1948000, 963000 1948000))",광진구
다사62b52a,0,0,0,2,3.0,4.0,28.0,0.0,178.0,36.0,3.0,64723.25278219997,3528.0,0,0,0,19,"POLYGON ((962500 1952000, 962500 1952500, 963000 1952500, 963000 1952000, 962500 1952000))",광진구 동대문구
다사62b52b,0,0,0,2,7.0,17.0,64.0,6.0,255.0,129.0,12.0,73542.99516136337,323.0,0,0,0,41,"POLYGON ((962500 1952500, 962500 1953000, 963000 1953000, 963000 1952500, 962500 1952500))",광진구 동대문구 중랑구
다사64b50b,1,0,0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,219.12411991219628,0.0,0,0,0,1,"POLYGON ((964500 1950500, 964500 1951000, 965000 1951000, 965000 1950500, 964500 1950500))",광진구
다사64a51a,0,0,0,0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,22768.159526742063,3784.0,0,0,0,1,"POLYGON ((964000 1951000, 964000 1951500, 964500 1951500, 964500 1951000, 964000 1951000))",광진구
다사61b49b,0,0,0,0,0.0,0.0,111.0,36.0,324.0,77.0,26.0,68435.50278511635,8460.0,0,0,0,41,"POLYGON ((961500 1949500, 961500 1950000, 962000 1950000, 962000 1949500, 961500 1949500))",광진구 성동구
다사62a49a,0,0,0,0,0.0,0.0,63.0,27.0,213.0,45.0,15.0,35401.39138352964,1377.0,0,0,0,44,"POLYGON ((962000 1949000, 962000 1949500, 962500 1949500, 962500 1949000, 962000 1949000))",광진구
다사63b51b,0,2,3,0,0.0,0.0,43.0,11.0,165.0,58.0,14.0,20327.60600203753,2598.0,0,0,0,4,"POLYGON ((963500 1951500, 963500 1952000, 964000 1952000, 964000 1951500, 963500 1951500))",광진구
다사63a47b,0,0,1,0,0.0,0.0,13.0,0.0,238.0,4.0,0.0,54986.7856474549,7223.0,0,0,0,10,"POLYGON ((963000 1947500, 963000 1948000, 963500 1948000, 963500 1947500, 963000 1947500))",광진구
다사63a51a,1,0,0,1,3.0,4.0,38.0,2.0,415.0,42.0,6.0,63501.93310456551,10444.0,0,0,0,12,"POLYGON ((963000 1951000, 963000 1951500, 963500 1951500, 963500 1951000, 963000 1951000))",광진구
다사61a49a,0,1,0,0,0.0,0.0,80.0,18.0,387.0,92.0,36.0,63441.09264372998,554.0,0,0,0,52,"POLYGON ((961000 1949000, 961000 1949500, 961500 1949500, 961500 1949000, 961000 1949000))",광진구 성동구
다사64a50a,0,0,0,2,0.0,0.0,24.0,0.0,158.0,22.0,2.0,32231.716921677584,6834.0,0,0,0,8,"POLYGON ((964000 1950000, 964000 1950500, 964500 1950500, 964500 1950000, 964000 1950000))",광진구
